name,cost,duration_days,prepayment
Консультация чат-бота с нуля,5500.00,1,2200.00
Консультация DevOps-пайплайна (Enterprise),6000.00,1,1600.00
Консультация CRM-системы (POC),6000.00,1,3000.00
Консультация системы управления задачами (MVP),6000.00,1,3000.00
Консультация чат-бота (POC),6500.00,1,3100.00
Консультация платёжного модуля (POC),7000.00,1,2800.00
Консультация чат-бота,7500.00,1,3100.00
Консультация системы резервного копирования,7500.00,1,3400.00
Консультация системы мониторинга (Enterprise),8500.00,1,2200.00
Консультация системы мониторинга с нуля,8500.00,1,2600.00
Консультация системы управления задачами под ключ,9500.00,1,4300.00
Консультация микросервисной архитектуры (MVP),10000.00,1,5000.00
Консультация панели администратора (SaaS),10500.00,1,2800.00
Консультация системы управления задачами (MVP),10500.00,1,4200.00
Сопровождение API-сервиса,10500.00,1,4300.00
Сопровождение чат-бота (MVP),11500.00,1,3100.00
Консультация сети доставки контента с нуля,12000.00,2,4600.00
Консультация панели администратора,12000.00,1,5300.00
Сопровождение API-сервиса (POC),12000.00,1,5400.00
Консультация системы аналитики (Enterprise),12500.00,2,5500.00
Настройка веб-приложения (Enterprise),13500.00,1,4200.00
Консультация мобильного приложения (POC),14000.00,1,5400.00
Настройка системы мониторинга (SaaS),14000.00,2,5800.00
Консультация ERP-системы (POC),14000.00,1,6200.00
Аудит мобильного приложения (Enterprise),15000.00,2,4700.00
Настройка API-сервиса (Enterprise),15000.00,2,6400.00
Аудит системы резервного копирования (Enterprise),15500.00,2,5800.00
Настройка ERP-системы (POC),15500.00,2,6400.00
Консультация панели администратора с нуля,15500.00,2,7200.00
Консультация системы аутентификации (MVP),16000.00,2,4600.00
Консультация API-сервиса под ключ,16000.00,1,4800.00
Консультация микросервисной архитектуры на основе существующего решения,16000.00,2,7700.00
Сопровождение микросервисной архитектуры на основе существующего решения,16500.00,2,6100.00
Настройка облачной инфраструктуры с нуля,16500.00,1,6200.00
Консультация платёжного модуля,17000.00,1,4600.00
