name,cost,duration_days,prepayment
Консультация платёжного модуля (SaaS),5000.00,1,1900.00
Консультация чат-бота (SaaS),5000.00,1,1900.00
Консультация мобильного приложения под ключ,5500.00,1,1700.00
Консультация панели администратора под ключ,5500.00,1,1900.00
Консультация системы резервного копирования (MVP),5500.00,1,2300.00
Консультация API-сервиса (SaaS),5500.00,1,2500.00
Консультация базы данных (MVP),5500.00,1,2700.00
Консультация DevOps-пайплайна (POC),6000.00,1,2100.00
Консультация нагрузочного тестирования (Enterprise),6000.00,1,2200.00
Консультация API-сервиса (SaaS),6500.00,1,1700.00
Консультация нагрузочного тестирования на основе существующего решения,6500.00,1,1700.00
Консультация системы аналитики (POC),6500.00,1,2200.00
Консультация базы данных (POC),6500.00,1,2600.00
Консультация корпоративного портала (SaaS),6500.00,1,2900.00
Консультация базы данных (SaaS),6500.00,1,3100.00
Консультация корпоративного портала под ключ,7000.00,1,2600.00
Консультация системы управления задачами (SaaS),7000.00,1,2800.00
Консультация базы данных,7000.00,1,3100.00
Консультация системы резервного копирования (POC),7000.00,1,3100.00
Консультация системы аналитики под ключ,7500.00,1,1900.00
Консультация системы резервного копирования,7500.00,1,1900.00
Консультация корпоративного портала под ключ,7500.00,1,2400.00
Консультация панели администратора с нуля,8000.00,1,2400.00
Консультация CRM-системы (SaaS),8000.00,1,3100.00
Консультация системы мониторинга с нуля,8000.00,1,3100.00
Консультация системы аутентификации (POC),8000.00,1,3500.00
Консультация нагрузочного тестирования на основе существующего решения,8500.00,1,2200.00
Консультация системы аутентификации (Enterprise),8500.00,1,2700.00
Консультация облачной инфраструктуры (POC),8500.00,1,3100.00
Консультация системы управления задачами (SaaS),9000.00,1,2300.00
Консультация базы данных (SaaS),9000.00,1,2700.00
Консультация CRM-системы на основе существующего решения,9000.00,1,3300.00
Консультация системы мониторинга,9000.00,1,3500.00
Консультация мобильного приложения (Enterprise),9000.00,1,4500.00
Консультация веб-приложения на основе существующего решения,9500.00,1,2800.00
Консультация системы аналитики (SaaS),10000.00,1,3600.00
Консультация CRM-системы (SaaS),10000.00,1,4100.00
Консультация веб-приложения,10500.00,1,2700.00
Консультация корпоративного портала (MVP),10500.00,1,2700.00
Настройка чат-бота (MVP),10500.00,1,2800.00
Настройка базы данных с нуля,10500.00,1,2900.00
Сопровождение платёжного модуля (SaaS),10500.00,1,3100.00
Консультация системы резервного копирования (MVP),10500.00,1,4000.00
Сопровождение системы управления задачами (POC),10500.00,1,4300.00
Консультация облачной инфраструктуры под ключ,10500.00,1,4500.00
Настройка системы резервного копирования,10500.00,1,5000.00
Настройка нагрузочного тестирования на основе существующего решения,10500.00,1,5200.00
Консультация корпоративного портала (Enterprise),11000.00,1,2800.00
Консультация панели администратора с нуля,11000.00,1,2800.00
Сопровождение веб-приложения под ключ,11000.00,1,3200.00
Сопровождение корпоративного портала,11000.00,1,3300.00
Настройка веб-приложения на основе существующего решения,11000.00,1,3800.00
Консультация базы данных с нуля,11000.00,1,5300.00
Консультация чат-бота,11000.00,1,5300.00
Консультация DevOps-пайплайна с нуля,11500.00,1,3000.00
Консультация сети доставки контента с нуля,11500.00,1,3000.00
Консультация облачной инфраструктуры с нуля,11500.00,1,3300.00
Настройка CRM-системы (POC),11500.00,1,3600.00
Консультация базы данных на основе существующего решения,11500.00,1,4300.00
Консультация нагрузочного тестирования (SaaS),11500.00,1,4400.00
Сопровождение DevOps-пайплайна,11500.00,1,4400.00
Настройка платёжного модуля под ключ,11500.00,1,4500.00
Консультация микросервисной архитектуры (POC),11500.00,1,5400.00
Консультация веб-приложения (POC),11500.00,1,5500.00
Консультация ERP-системы (MVP),12000.00,1,3100.00
Консультация облачной инфраструктуры (Enterprise),12000.00,2,4800.00
Сопровождение мобильного приложения с нуля,12000.00,1,4900.00
Сопровождение ERP-системы (Enterprise),12000.00,1,5500.00
Консультация чат-бота,12500.00,1,3400.00
Сопровождение корпоративного портала (SaaS),12500.00,1,3800.00
Настройка системы мониторинга (MVP),12500.00,1,4300.00
Консультация корпоративного портала (MVP),12500.00,1,4500.00
Консультация системы аналитики (Enterprise),12500.00,1,4600.00
Настройка системы мониторинга (SaaS),12500.00,1,5000.00
Сопровождение платёжного модуля (SaaS),12500.00,1,5200.00
