name,cost,duration_days,prepayment
Консультация системы аутентификации на основе существующего решения,5500.00,1,1600.00
Консультация микросервисной архитектуры,5500.00,1,1900.00
Консультация ERP-системы под ключ,5500.00,1,2000.00
Консультация мобильного приложения под ключ,5500.00,1,2200.00
Консультация нагрузочного тестирования (POC),5500.00,1,2400.00
Консультация чат-бота на основе существующего решения,5500.00,1,2600.00
Консультация системы аутентификации (SaaS),6000.00,1,1700.00
Консультация ERP-системы,6000.00,1,1800.00
Консультация микросервисной архитектуры с нуля,6000.00,1,1800.00
Консультация DevOps-пайплайна с нуля,6000.00,1,2500.00
Консультация панели администратора (POC),6000.00,1,2700.00
Консультация системы мониторинга (SaaS),6500.00,1,2600.00
Консультация облачной инфраструктуры с нуля,6500.00,1,2700.00
Консультация микросервисной архитектуры (POC),6500.00,1,3200.00
Консультация CRM-системы (MVP),7000.00,1,2300.00
Консультация микросервисной архитектуры под ключ,7000.00,1,2400.00
Консультация системы аутентификации (SaaS),7000.00,1,3200.00
Консультация веб-приложения (MVP),7000.00,1,3300.00
Консультация панели администратора,7000.00,1,3300.00
Консультация корпоративного портала на основе существующего решения,7000.00,1,3400.00
Консультация системы управления задачами на основе существующего решения,7000.00,1,3500.00
Консультация системы мониторинга (Enterprise),7500.00,1,2200.00
Консультация DevOps-пайплайна (Enterprise),7500.00,1,2500.00
Консультация системы аутентификации (POC),7500.00,1,3300.00
Консультация API-сервиса с нуля,7500.00,1,3400.00
Консультация системы аналитики (MVP),7500.00,1,3600.00
Консультация чат-бота (SaaS),7500.00,1,3600.00
Консультация корпоративного портала,8000.00,1,2700.00
Консультация панели администратора (MVP),8000.00,1,2800.00
Консультация панели администратора на основе существующего решения,8500.00,1,2500.00
Консультация системы управления задачами (MVP),8500.00,1,2500.00
Консультация базы данных,8500.00,1,2700.00
Консультация облачной инфраструктуры (SaaS),8500.00,1,2800.00
Консультация чат-бота (Enterprise),8500.00,1,3400.00
Консультация облачной инфраструктуры (SaaS),8500.00,1,4000.00
Консультация системы аналитики (SaaS),9000.00,1,2500.00
Консультация мобильного приложения (Enterprise),9000.00,1,2800.00
Консультация сети доставки контента с нуля,9000.00,1,4000.00
Консультация веб-приложения с нуля,9000.00,1,4400.00
Консультация системы мониторинга (Enterprise),9500.00,1,2500.00
Консультация системы аналитики на основе существующего решения,9500.00,1,2700.00
Консультация базы данных (MVP),9500.00,1,3100.00
Консультация CRM-системы (MVP),9500.00,1,3700.00
Консультация корпоративного портала на основе существующего решения,9500.00,1,3800.00
Консультация ERP-системы на основе существующего решения,9500.00,1,4100.00
Консультация мобильного приложения,9500.00,1,4100.00
Консультация CRM-системы с нуля,9500.00,1,4300.00
Консультация системы аутентификации (SaaS),9500.00,1,4300.00
Консультация микросервисной архитектуры (Enterprise),9500.00,1,4500.00
Консультация системы аналитики (MVP),9500.00,1,4600.00
Настройка API-сервиса (MVP),10000.00,1,2500.00
Консультация CRM-системы (POC),10000.00,1,2700.00
Консультация базы данных (MVP),10000.00,1,2700.00
Консультация системы аналитики на основе существующего решения,10000.00,1,3100.00
Консультация системы мониторинга (POC),10000.00,1,3100.00
Консультация базы данных под ключ,10000.00,1,3300.00
Консультация DevOps-пайплайна на основе существующего решения,10000.00,1,3600.00
Консультация облачной инфраструктуры (MVP),10000.00,1,4100.00
Консультация чат-бота (MVP),10000.00,1,4400.00
Консультация системы аналитики на основе существующего решения,10000.00,1,4500.00
Консультация CRM-системы под ключ,10000.00,1,4900.00
Консультация микросервисной архитектуры (SaaS),10500.00,1,3000.00
Консультация облачной инфраструктуры с нуля,10500.00,1,3500.00
Консультация системы резервного копирования (POC),10500.00,1,3500.00
Консультация CRM-системы (SaaS),10500.00,1,3600.00
Сопровождение микросервисной архитектуры под ключ,10500.00,1,3600.00
Сопровождение базы данных на основе существующего решения,10500.00,1,3700.00
Сопровождение сети доставки контента,10500.00,1,4100.00
Настройка API-сервиса (Enterprise),10500.00,1,4500.00
Консультация системы резервного копирования с нуля,10500.00,1,4600.00
Настройка чат-бота,10500.00,1,4600.00
Сопровождение нагрузочного тестирования,10500.00,1,4600.00
Настройка облачной инфраструктуры (SaaS),10500.00,1,4700.00
Сопровождение системы аутентификации (Enterprise),10500.00,1,4800.00
Консультация мобильного приложения на основе существующего решения,10500.00,1,5200.00
Консультация системы резервного копирования (POC),11000.00,1,2900.00
Консультация корпоративного портала на основе существующего решения,11000.00,1,3400.00
Настройка нагрузочного тестирования (POC),11000.00,1,3700.00
Консультация базы данных с нуля,11000.00,1,4300.00
Настройка сети доставки контента с нуля,11000.00,1,4900.00
Консультация системы аналитики (MVP),11000.00,1,5000.00
Консультация системы мониторинга,11000.00,1,5000.00
Сопровождение DevOps-пайплайна под ключ,11000.00,1,5000.00
Сопровождение корпоративного портала (SaaS),11000.00,1,5000.00
Сопровождение системы управления задачами (POC),11000.00,1,5100.00
Консультация базы данных с нуля,11000.00,1,5200.00
Сопровождение CRM-системы под ключ,11000.00,1,5200.00
Сопровождение базы данных (Enterprise),11500.00,1,2900.00
Сопровождение платёжного модуля (SaaS),11500.00,1,2900.00
Консультация облачной инфраструктуры (Enterprise),11500.00,1,3100.00
Настройка ERP-системы,11500.00,1,4400.00
Сопровождение сети доставки контента (Enterprise),11500.00,1,4600.00
Настройка веб-приложения (SaaS),11500.00,1,4700.00
Настройка CRM-системы с нуля,11500.00,1,5200.00
Консультация ERP-системы,11500.00,1,5400.00
Сопровождение панели администратора,11500.00,1,5400.00
Сопровождение мобильного приложения с нуля,11500.00,1,5700.00
Настройка веб-приложения под ключ,12000.00,1,3100.00
Настройка системы резервного копирования (Enterprise),12000.00,1,3400.00
Настройка ERP-системы (POC),12000.00,1,3800.00
Сопровождение системы резервного копирования (SaaS),12000.00,1,4400.00
Настройка CRM-системы (SaaS),12000.00,2,5200.00
Настройка DevOps-пайплайна под ключ,12000.00,1,5200.00
Настройка базы данных (POC),12000.00,1,5400.00
Сопровождение системы мониторинга с нуля,12000.00,1,5400.00
Настройка сети доставки контента (Enterprise),12000.00,1,5500.00
Сопровождение базы данных,12000.00,1,6000.00
Сопровождение базы данных (SaaS),12500.00,1,3400.00
Сопровождение мобильного приложения с нуля,12500.00,1,3400.00
Консультация ERP-системы (MVP),12500.00,2,4500.00
Настройка системы аналитики (POC),12500.00,1,4900.00
Консультация ERP-системы с нуля,12500.00,1,5100.00
Консультация нагрузочного тестирования (MVP),12500.00,1,5200.00
Сопровождение корпоративного портала (Enterprise),12500.00,2,5300.00
Консультация DevOps-пайплайна (Enterprise),12500.00,1,5400.00
Консультация чат-бота с нуля,12500.00,1,5400.00
Консультация DevOps-пайплайна на основе существующего решения,12500.00,1,6100.00
Консультация базы данных с нуля,13000.00,2,3600.00
Сопровождение веб-приложения под ключ,13000.00,2,4100.00
