name,cost,duration_days,prepayment
Консультация чат-бота (POC),5000.00,1,1300.00
Консультация сети доставки контента с нуля,5000.00,1,1600.00
Консультация системы аутентификации (MVP),5000.00,1,1700.00
Консультация DevOps-пайплайна (MVP),5000.00,1,2000.00
Консультация ERP-системы (SaaS),5000.00,1,2000.00
Консультация базы данных (SaaS),5000.00,1,2000.00
Консультация системы управления задачами (Enterprise),5000.00,1,2000.00
Консультация панели администратора (MVP),5000.00,1,2100.00
Консультация CRM-системы под ключ,5000.00,1,2300.00
Консультация DevOps-пайплайна с нуля,5500.00,1,1400.00
Консультация ERP-системы (POC),5500.00,1,1400.00
Консультация корпоративного портала (MVP),5500.00,1,1400.00
Консультация нагрузочного тестирования с нуля,5500.00,1,1400.00
Консультация сети доставки контента на основе существующего решения,5500.00,1,1400.00
Консультация облачной инфраструктуры (MVP),5500.00,1,1500.00
Консультация веб-приложения с нуля,5500.00,1,1600.00
Консультация ERP-системы (Enterprise),5500.00,1,1800.00
Консультация корпоративного портала,5500.00,1,1800.00
Консультация системы аутентификации (POC),5500.00,1,1800.00
Консультация DevOps-пайплайна,5500.00,1,1900.00
Консультация системы управления задачами на основе существующего решения,5500.00,1,1900.00
Консультация микросервисной архитектуры (MVP),5500.00,1,2000.00
Консультация системы аутентификации (SaaS),5500.00,1,2000.00
Консультация веб-приложения с нуля,5500.00,1,2200.00
Консультация микросервисной архитектуры под ключ,5500.00,1,2300.00
Консультация системы аутентификации (MVP),5500.00,1,2400.00
Консультация нагрузочного тестирования на основе существующего решения,5500.00,1,2700.00
Консультация корпоративного портала,6000.00,1,1600.00
Консультация нагрузочного тестирования (SaaS),6000.00,1,1600.00
Консультация облачной инфраструктуры (Enterprise),6000.00,1,1600.00
Консультация корпоративного портала на основе существующего решения,6000.00,1,1800.00
Консультация корпоративного портала (MVP),6000.00,1,1900.00
Консультация чат-бота,6000.00,1,2100.00
Консультация ERP-системы (SaaS),6000.00,1,2200.00
Консультация микросервисной архитектуры под ключ,6000.00,1,2400.00
Консультация системы аутентификации,6000.00,1,2400.00
Консультация системы управления задачами (POC),6000.00,1,2400.00
Консультация чат-бота,6000.00,1,2700.00
Консультация API-сервиса под ключ,6000.00,1,2900.00
Консультация панели администратора (SaaS),6000.00,1,3000.00
Консультация системы аналитики (POC),6500.00,1,1800.00
Консультация микросервисной архитектуры (POC),6500.00,1,2000.00
Консультация облачной инфраструктуры (SaaS),6500.00,1,2000.00
Консультация CRM-системы под ключ,6500.00,1,2100.00
Консультация CRM-системы с нуля,6500.00,1,2100.00
Консультация базы данных (POC),6500.00,1,2100.00
Консультация панели администратора (MVP),6500.00,1,2200.00
Консультация системы мониторинга под ключ,6500.00,1,2400.00
Консультация системы резервного копирования (Enterprise),6500.00,1,2400.00
Консультация облачной инфраструктуры (MVP),6500.00,1,2500.00
Консультация системы резервного копирования,6500.00,1,2700.00
Консультация API-сервиса (Enterprise),6500.00,1,2800.00
Консультация облачной инфраструктуры (MVP),6500.00,1,2800.00
Консультация микросервисной архитектуры (MVP),7000.00,1,2500.00
Консультация сети доставки контента на основе существующего решения,7000.00,1,2500.00
Консультация API-сервиса (Enterprise),7000.00,1,2700.00
Консультация системы аутентификации на основе существующего решения,7000.00,1,2800.00
Консультация DevOps-пайплайна (SaaS),7000.00,1,3000.00
Консультация сети доставки контента (Enterprise),7000.00,1,3000.00
Консультация сети доставки контента,7000.00,1,3100.00
Консультация системы аналитики под ключ,7000.00,1,3100.00
Консультация системы аналитики (SaaS),7000.00,1,3200.00
Консультация корпоративного портала (MVP),7000.00,1,3300.00
Консультация системы аналитики (Enterprise),7000.00,1,3300.00
Консультация системы аутентификации,7500.00,1,1900.00
Консультация веб-приложения под ключ,7500.00,1,2200.00
Консультация чат-бота (Enterprise),7500.00,1,2300.00
Консультация системы управления задачами,7500.00,1,2600.00
