name,cost,duration_days,prepayment
Аудит микросервисной архитектуры под ключ,108000.00,8,42200.00
Оптимизация сети доставки контента (Enterprise),99000.00,13,29800.00
Проектирование системы мониторинга (Enterprise),464500.00,52,221700.00
Миграция чат-бота с нуля,823500.00,78,249200.00
Сопровождение облачной инфраструктуры (MVP),48500.00,4,16200.00
Разработка платёжного модуля (POC),1992500.00,213,995900.00
Аудит облачной инфраструктуры,148000.00,12,64300.00
Развёртывание системы управления задачами под ключ,52500.00,6,22400.00
Внедрение системы резервного копирования,1078000.00,109,357900.00
Консультация корпоративного портала под ключ,59500.00,5,28500.00
Оптимизация системы аутентификации (Enterprise),260500.00,22,101800.00
Консультация платёжного модуля,11500.00,1,4400.00
Оптимизация системы управления задачами (SaaS),158500.00,14,62800.00
Аудит нагрузочного тестирования,249000.00,32,74500.00
Оптимизация облачной инфраструктуры (Enterprise),198000.00,25,96200.00
Сопровождение DevOps-пайплайна,72000.00,7,35100.00
Развёртывание платёжного модуля (Enterprise),398500.00,34,198600.00
Тестирование системы мониторинга на основе существующего решения,259000.00,26,92200.00
Сопровождение системы аутентификации (SaaS),39000.00,5,10900.00
Тестирование чат-бота (MVP),210000.00,18,56600.00
Оптимизация чат-бота с нуля,446000.00,42,142600.00
Разработка системы мониторинга (MVP),1640500.00,143,716100.00
Миграция API-сервиса (POC),81500.00,10,40300.00
Настройка корпоративного портала (MVP),156000.00,15,74700.00
Сопровождение чат-бота (POC),139500.00,14,51000.00
Сопровождение базы данных под ключ,69500.00,6,18700.00
Аудит мобильного приложения (MVP),68500.00,9,32900.00
Интеграция нагрузочного тестирования (SaaS),931500.00,111,313000.00
Внедрение ERP-системы,713000.00,60,350000.00
Сопровождение платёжного модуля под ключ,136500.00,14,59900.00
Консультация панели администратора с нуля,44500.00,5,21800.00
Консультация CRM-системы с нуля,77000.00,8,32900.00
Развёртывание панели администратора с нуля,456500.00,44,206900.00
Сопровождение мобильного приложения (MVP),122000.00,12,41800.00
Разработка CRM-системы,1479000.00,155,515800.00
Оптимизация системы аналитики (MVP),332500.00,36,92900.00
Интеграция панели администратора на основе существующего решения,81000.00,6,37200.00
Миграция облачной инфраструктуры (POC),603500.00,44,165900.00
Сопровождение нагрузочного тестирования на основе существующего решения,125500.00,13,34100.00
Развёртывание API-сервиса (POC),141000.00,15,36700.00
Сопровождение платёжного модуля с нуля,19000.00,2,6200.00
Проектирование ERP-системы (Enterprise),604000.00,43,205600.00
Разработка системы аналитики (Enterprise),1633000.00,144,697900.00
Миграция API-сервиса,245000.00,23,73800.00
Настройка системы резервного копирования под ключ,79000.00,8,34700.00
Оптимизация CRM-системы (POC),307000.00,32,127000.00
Развёртывание платёжного модуля,409000.00,30,183900.00
Интеграция корпоративного портала (MVP),1089500.00,93,406300.00
Разработка базы данных под ключ,717500.00,54,328400.00
Аудит базы данных (SaaS),208500.00,19,87700.00
Аудит панели администратора на основе существующего решения,277000.00,28,80300.00
Проектирование мобильного приложения на основе существующего решения,146500.00,11,54600.00
Сопровождение CRM-системы под ключ,42500.00,3,11700.00
Интеграция системы резервного копирования (POC),899000.00,115,318200.00
Оптимизация базы данных (POC),278000.00,29,106600.00
Тестирование корпоративного портала на основе существующего решения,222500.00,22,73100.00
Развёртывание панели администратора (Enterprise),452500.00,32,140900.00
Сопровождение панели администратора,118500.00,14,44800.00
Интеграция CRM-системы (MVP),480000.00,53,230300.00
Консультация ERP-системы (Enterprise),69500.00,9,33100.00
Развёртывание системы аналитики на основе существующего решения,325500.00,42,125000.00
Аудит микросервисной архитектуры под ключ,130000.00,11,54400.00
Аудит мобильного приложения с нуля,165500.00,18,79500.00
Сопровождение системы резервного копирования под ключ,83500.00,7,22600.00
Миграция веб-приложения (Enterprise),766500.00,84,368500.00
Проектирование нагрузочного тестирования (POC),101000.00,7,27800.00
Аудит API-сервиса (MVP),150500.00,14,37900.00
Проектирование системы мониторинга под ключ,136500.00,12,50600.00
Настройка мобильного приложения под ключ,57500.00,7,17100.00
Тестирование веб-приложения на основе существующего решения,212500.00,17,96700.00
Оптимизация базы данных,148500.00,19,54900.00
Настройка базы данных на основе существующего решения,23500.00,2,7700.00
Проектирование ERP-системы (Enterprise),334000.00,34,99200.00
Аудит платёжного модуля под ключ,70000.00,6,22800.00
Внедрение CRM-системы (Enterprise),686500.00,54,269600.00
Миграция сети доставки контента (MVP),436500.00,52,140800.00
Развёртывание системы управления задачами (SaaS),548500.00,46,179500.00
Миграция платёжного модуля (SaaS),245500.00,30,108400.00
Тестирование микросервисной архитектуры под ключ,280000.00,21,121200.00
Миграция системы аутентификации (SaaS),395000.00,46,146700.00
Оптимизация API-сервиса под ключ,54000.00,6,26600.00
Аудит DevOps-пайплайна (POC),47500.00,4,20000.00
Консультация панели администратора (SaaS),71000.00,6,32800.00
Оптимизация облачной инфраструктуры,92000.00,11,36100.00
Интеграция базы данных (Enterprise),997000.00,108,347800.00
Сопровождение сети доставки контента (POC),16500.00,1,5000.00
Сопровождение системы резервного копирования (SaaS),23500.00,3,11000.00
Сопровождение ERP-системы (Enterprise),124000.00,9,41100.00
Оптимизация микросервисной архитектуры (MVP),279000.00,34,124700.00
Проектирование системы управления задачами (MVP),177000.00,12,55400.00
Сопровождение мобильного приложения,74000.00,9,31500.00
Консультация корпоративного портала на основе существующего решения,57000.00,6,26200.00
Настройка платёжного модуля (POC),134500.00,11,41200.00
Аудит DevOps-пайплайна (POC),280000.00,36,96500.00
Тестирование системы управления задачами (SaaS),47500.00,5,19200.00
Проектирование CRM-системы с нуля,663500.00,56,174400.00
Оптимизация системы мониторинга (SaaS),120500.00,9,48400.00
Миграция API-сервиса (Enterprise),289000.00,35,102400.00
Сопровождение мобильного приложения (MVP),90500.00,6,36200.00
Развёртывание системы мониторинга на основе существующего решения,399000.00,51,127500.00
Оптимизация корпоративного портала,179500.00,21,47900.00
Развёртывание платёжного модуля под ключ,518000.00,45,240400.00
Оптимизация нагрузочного тестирования под ключ,362500.00,28,156200.00
Оптимизация API-сервиса,38000.00,3,11300.00
Аудит API-сервиса (MVP),206000.00,18,96800.00
Настройка API-сервиса (SaaS),199000.00,18,93500.00
Оптимизация облачной инфраструктуры под ключ,289500.00,21,124500.00
Миграция сети доставки контента,499000.00,59,193800.00
Интеграция корпоративного портала с нуля,847500.00,94,297700.00
Аудит базы данных (Enterprise),146000.00,11,64200.00
Сопровождение базы данных (SaaS),39000.00,5,18500.00
Развёртывание платёжного модуля (POC),426000.00,48,114500.00
Настройка ERP-системы на основе существующего решения,181000.00,14,69800.00
Аудит DevOps-пайплайна (Enterprise),129000.00,14,57700.00
Интеграция системы мониторинга на основе существующего решения,737000.00,92,358800.00
Интеграция системы резервного копирования (MVP),433500.00,37,186500.00
Интеграция системы аутентификации,1166500.00,134,309800.00
Тестирование корпоративного портала (Enterprise),27000.00,2,6900.00
Настройка системы управления задачами (MVP),108000.00,8,29100.00
Настройка чат-бота (MVP),123500.00,14,32100.00
Настройка CRM-системы (Enterprise),90000.00,9,26600.00
Развёртывание микросервисной архитектуры (SaaS),211500.00,22,105500.00
Внедрение системы аутентификации (Enterprise),126000.00,10,58800.00
Настройка CRM-системы (Enterprise),155000.00,17,68700.00
Разработка платёжного модуля на основе существующего решения,1279000.00,121,336900.00
Развёртывание панели администратора (Enterprise),525500.00,41,176800.00
Тестирование API-сервиса (POC),86500.00,11,41500.00
Миграция системы аутентификации на основе существующего решения,85500.00,8,29400.00
Развёртывание системы мониторинга с нуля,206000.00,26,56200.00
Миграция DevOps-пайплайна (POC),873000.00,84,305100.00
Консультация веб-приложения под ключ,56500.00,7,24900.00
Интеграция DevOps-пайплайна (SaaS),996000.00,113,336200.00
Интеграция системы мониторинга под ключ,789000.00,82,249300.00
Развёртывание чат-бота с нуля,586500.00,63,161100.00
Настройка нагрузочного тестирования,42000.00,3,19000.00
Сопровождение мобильного приложения (SaaS),74500.00,6,19100.00
Интеграция базы данных (Enterprise),1174500.00,123,508100.00
Сопровождение системы управления задачами (MVP),12000.00,2,5000.00
Интеграция панели администратора под ключ,951000.00,88,266700.00
Настройка мобильного приложения (SaaS),24000.00,2,9400.00
Оптимизация нагрузочного тестирования (SaaS),350000.00,32,132400.00
Оптимизация корпоративного портала (MVP),299000.00,23,118100.00
Аудит CRM-системы с нуля,15500.00,1,5600.00
Аудит ERP-системы на основе существующего решения,234500.00,21,67700.00
Настройка системы аутентификации (Enterprise),14000.00,1,4100.00
Консультация мобильного приложения с нуля,48500.00,5,19500.00
Интеграция корпоративного портала (POC),345500.00,27,99500.00
Развёртывание системы резервного копирования (POC),88500.00,7,30900.00
Консультация API-сервиса (Enterprise),75000.00,6,23300.00
Миграция системы аутентификации под ключ,308000.00,35,96600.00
Настройка мобильного приложения (MVP),187000.00,20,59500.00
Настройка системы управления задачами под ключ,20500.00,2,6700.00
Развёртывание корпоративного портала (SaaS),598500.00,66,207300.00
Внедрение мобильного приложения,541500.00,67,160600.00
Аудит системы управления задачами (MVP),157000.00,20,73700.00
Консультация веб-приложения,58500.00,7,14800.00
Миграция нагрузочного тестирования (MVP),740500.00,79,300200.00
Интеграция системы резервного копирования,145500.00,11,58700.00
Сопровождение системы управления задачами (MVP),91500.00,9,38700.00
Интеграция микросервисной архитектуры,752500.00,91,264900.00
Аудит чат-бота (POC),93500.00,7,27300.00
Проектирование ERP-системы (MVP),131000.00,16,48400.00
Сопровождение мобильного приложения,81000.00,8,30700.00
Развёртывание ERP-системы на основе существующего решения,520500.00,38,202600.00
Сопровождение базы данных (SaaS),124000.00,10,47000.00
Консультация системы мониторинга на основе существующего решения,56500.00,4,26200.00
Интеграция системы аналитики (SaaS),626000.00,64,169400.00
Внедрение микросервисной архитектуры (POC),1438000.00,141,602500.00
Миграция мобильного приложения (POC),433500.00,45,155400.00
Интеграция сети доставки контента (POC),747500.00,93,318700.00
Аудит API-сервиса (SaaS),193500.00,23,49100.00
Настройка корпоративного портала,195000.00,23,95000.00
Развёртывание чат-бота,171500.00,18,79000.00
Оптимизация веб-приложения под ключ,364500.00,31,119100.00
Развёртывание ERP-системы (SaaS),132000.00,11,65700.00
Проектирование системы управления задачами с нуля,407500.00,46,164300.00
