name,cost,duration_days,prepayment
Аудит DevOps-пайплайна (Enterprise),266500.00,31,89800.00
Оптимизация системы мониторинга (SaaS),196500.00,24,76000.00
Развёртывание DevOps-пайплайна (POC),282500.00,26,84100.00
Внедрение системы аутентификации,967500.00,104,353600.00
Внедрение панели администратора на основе существующего решения,909000.00,102,265600.00
Развёртывание системы аналитики (SaaS),501500.00,62,243100.00
Аудит мобильного приложения,148500.00,11,70200.00
Оптимизация сети доставки контента (SaaS),420000.00,42,205500.00
Внедрение ERP-системы (SaaS),694500.00,87,264500.00
Интеграция мобильного приложения (Enterprise),115500.00,13,31800.00
Разработка системы мониторинга с нуля,1529000.00,180,446100.00
Интеграция CRM-системы (POC),868000.00,74,263300.00
Консультация системы аналитики под ключ,30000.00,3,14900.00
Внедрение облачной инфраструктуры на основе существующего решения,1397500.00,181,588200.00
Развёртывание системы мониторинга (SaaS),343500.00,39,148400.00
Консультация чат-бота с нуля,20000.00,2,8800.00
Развёртывание системы аутентификации с нуля,530000.00,43,233100.00
Оптимизация API-сервиса под ключ,343500.00,38,103200.00
Аудит платёжного модуля (MVP),121500.00,13,58500.00
Консультация системы управления задачами (POC),33000.00,4,15000.00
Тестирование базы данных с нуля,115000.00,13,40800.00
Разработка панели администратора (POC),139500.00,10,38200.00
Оптимизация системы резервного копирования с нуля,199500.00,22,58700.00
Консультация корпоративного портала (Enterprise),45000.00,4,16600.00
Внедрение базы данных на основе существующего решения,813000.00,71,206700.00
Тестирование платёжного модуля с нуля,152000.00,16,67100.00
Настройка веб-приложения (Enterprise),144000.00,12,45900.00
Миграция нагрузочного тестирования,758000.00,59,340200.00
Проектирование микросервисной архитектуры (SaaS),201000.00,16,51600.00
Консультация облачной инфраструктуры,43000.00,4,11200.00
Развёртывание нагрузочного тестирования (POC),153000.00,19,53100.00
Тестирование веб-приложения (POC),70500.00,5,22900.00
Консультация чат-бота (SaaS),62000.00,7,18200.00
Настройка CRM-системы (SaaS),100000.00,13,40000.00
Развёртывание платёжного модуля под ключ,149000.00,17,37700.00
Тестирование CRM-системы (Enterprise),299500.00,32,132900.00
Оптимизация чат-бота,110500.00,9,46900.00
Проектирование базы данных с нуля,588000.00,64,158000.00
Развёртывание системы мониторинга на основе существующего решения,103500.00,9,42200.00
Консультация системы аналитики (MVP),24500.00,2,10900.00
Тестирование сети доставки контента (POC),351500.00,27,168900.00
Разработка микросервисной архитектуры (MVP),1041000.00,93,289600.00
Миграция системы резервного копирования (MVP),358500.00,26,114700.00
Оптимизация чат-бота,207000.00,20,86000.00
Аудит нагрузочного тестирования (Enterprise),172500.00,21,79400.00
Миграция чат-бота (Enterprise),287500.00,37,75800.00
Консультация мобильного приложения на основе существующего решения,79000.00,8,24900.00
Развёртывание системы резервного копирования на основе существующего решения,575000.00,49,180000.00
Настройка облачной инфраструктуры,53000.00,5,16600.00
Оптимизация нагрузочного тестирования (POC),443000.00,52,169800.00
Разработка ERP-системы под ключ,1380000.00,110,632600.00
Тестирование облачной инфраструктуры (SaaS),117000.00,8,36300.00
Сопровождение платёжного модуля с нуля,115500.00,15,51500.00
Аудит ERP-системы (POC),71500.00,9,25100.00
Проектирование системы резервного копирования,399000.00,43,142600.00
Интеграция облачной инфраструктуры с нуля,120500.00,15,39000.00
Аудит платёжного модуля (Enterprise),23500.00,2,11100.00
Сопровождение сети доставки контента,141000.00,17,39400.00
Проектирование чат-бота,584500.00,67,189800.00
Разработка системы резервного копирования (SaaS),1210000.00,93,329400.00
Внедрение системы аналитики под ключ,535000.00,45,202300.00
Тестирование ERP-системы под ключ,273500.00,24,119400.00
Интеграция веб-приложения (MVP),361500.00,29,173500.00
Внедрение платёжного модуля на основе существующего решения,743000.00,82,201100.00
Сопровождение микросервисной архитектуры на основе существующего решения,39000.00,5,18500.00
Миграция платёжного модуля под ключ,666000.00,79,309000.00
Оптимизация облачной инфраструктуры,422000.00,52,184500.00
Тестирование DevOps-пайплайна на основе существующего решения,114500.00,10,35000.00
Консультация микросервисной архитектуры (POC),35000.00,4,11300.00
Интеграция мобильного приложения (MVP),899000.00,87,297100.00
Проектирование мобильного приложения с нуля,590000.00,71,225500.00
Развёртывание DevOps-пайплайна с нуля,97000.00,7,44200.00
Внедрение панели администратора,1362500.00,160,666500.00
Оптимизация API-сервиса (MVP),378000.00,43,120100.00
Внедрение чат-бота (POC),1255500.00,99,432500.00
Внедрение микросервисной архитектуры на основе существующего решения,1466000.00,114,452100.00
Проектирование CRM-системы (MVP),724500.00,60,314500.00
Консультация корпоративного портала (MVP),46000.00,4,19400.00
Интеграция DevOps-пайплайна с нуля,990500.00,107,272800.00
Проектирование системы резервного копирования (Enterprise),707000.00,84,278500.00
Консультация чат-бота под ключ,52500.00,6,15700.00
Разработка системы резервного копирования (POC),855000.00,92,270900.00
Развёртывание чат-бота под ключ,556000.00,71,145900.00
Разработка ERP-системы (MVP),1453000.00,129,706000.00
Сопровождение API-сервиса,24000.00,3,7400.00
Интеграция чат-бота с нуля,1100000.00,142,317000.00
Настройка ERP-системы на основе существующего решения,72500.00,5,18200.00
Аудит системы мониторинга (SaaS),185000.00,23,66200.00
Разработка системы аутентификации (SaaS),1515000.00,193,659900.00
Развёртывание ERP-системы под ключ,500500.00,47,139000.00
Внедрение микросервисной архитектуры с нуля,517500.00,39,223300.00
Разработка базы данных на основе существующего решения,71000.00,6,29700.00
Проектирование мобильного приложения (Enterprise),126500.00,12,46100.00
Сопровождение системы аутентификации с нуля,29000.00,3,11900.00
Сопровождение API-сервиса под ключ,119000.00,12,51200.00
Оптимизация DevOps-пайплайна (SaaS),258500.00,24,73700.00
Интеграция платёжного модуля под ключ,856500.00,81,357000.00
Проектирование веб-приложения с нуля,186500.00,18,55800.00
Консультация нагрузочного тестирования на основе существующего решения,66000.00,7,23300.00
Проектирование системы аутентификации (Enterprise),476000.00,41,197700.00
Консультация API-сервиса (POC),65500.00,7,19600.00
Развёртывание DevOps-пайплайна,354000.00,46,162700.00
Внедрение системы аутентификации (SaaS),1445500.00,171,636200.00
Настройка CRM-системы (MVP),27000.00,3,9700.00
Проектирование веб-приложения (POC),442500.00,56,133800.00
Консультация облачной инфраструктуры (MVP),34500.00,3,13300.00
Проектирование нагрузочного тестирования (SaaS),344500.00,38,124400.00
Проектирование мобильного приложения с нуля,419500.00,35,134000.00
Проектирование системы аутентификации под ключ,101000.00,8,48100.00
Внедрение системы аутентификации на основе существующего решения,316000.00,39,113400.00
Аудит CRM-системы,216000.00,16,61800.00
Проектирование базы данных (MVP),712000.00,59,350700.00
Оптимизация нагрузочного тестирования (POC),212000.00,21,78300.00
Консультация базы данных под ключ,17000.00,2,4500.00
Внедрение системы аутентификации с нуля,672000.00,84,323600.00
Внедрение ERP-системы (Enterprise),646500.00,81,294000.00
Интеграция нагрузочного тестирования с нуля,110500.00,9,45500.00
Консультация базы данных (MVP),17500.00,2,5900.00
Миграция микросервисной архитектуры на основе существующего решения,372000.00,31,106300.00
Внедрение нагрузочного тестирования (SaaS),750500.00,97,342500.00
Сопровождение нагрузочного тестирования,113500.00,14,49700.00
Миграция панели администратора (MVP),384500.00,31,192100.00
Тестирование нагрузочного тестирования (POC),273500.00,34,76000.00
Интеграция системы мониторинга (SaaS),801000.00,72,328100.00
Тестирование веб-приложения (SaaS),42000.00,5,19000.00
Интеграция системы управления задачами под ключ,359000.00,28,102000.00
Проектирование мобильного приложения (Enterprise),128000.00,14,41800.00
Аудит CRM-системы (SaaS),91000.00,11,38600.00
Консультация мобильного приложения,13000.00,1,3800.00
Настройка мобильного приложения (POC),169500.00,19,51900.00
Сопровождение чат-бота (Enterprise),41000.00,3,11000.00
Развёртывание системы резервного копирования с нуля,584500.00,41,280900.00
Проектирование системы мониторинга (MVP),722500.00,74,329200.00
