name,cost,duration_days,prepayment
Развёртывание системы мониторинга с нуля,421500.00,42,160400.00
Интеграция корпоративного портала под ключ,582500.00,75,209700.00
Развёртывание системы управления задачами с нуля,55000.00,4,20900.00
Развёртывание ERP-системы (SaaS),502000.00,38,239200.00
Тестирование системы управления задачами (POC),67000.00,8,29300.00
Интеграция микросервисной архитектуры под ключ,793000.00,58,248700.00
Проектирование API-сервиса с нуля,36000.00,4,15200.00
Аудит системы аутентификации на основе существующего решения,57500.00,6,25900.00
Аудит облачной инфраструктуры с нуля,105500.00,13,35000.00
Аудит системы управления задачами с нуля,146500.00,18,39900.00
Разработка корпоративного портала на основе существующего решения,900000.00,117,340600.00
Сопровождение системы аутентификации (Enterprise),47500.00,4,22400.00
Сопровождение DevOps-пайплайна под ключ,108000.00,11,34500.00
Миграция системы управления задачами (MVP),184500.00,23,66600.00
Проектирование панели администратора,141500.00,17,59900.00
Внедрение чат-бота на основе существующего решения,1163000.00,137,578100.00
Развёртывание CRM-системы (Enterprise),416500.00,34,109300.00
Миграция системы аутентификации на основе существующего решения,284500.00,36,76200.00
Проектирование DevOps-пайплайна с нуля,651000.00,82,182600.00
Оптимизация системы резервного копирования (Enterprise),107500.00,13,28000.00
Внедрение базы данных,362500.00,35,146200.00
Настройка системы аналитики (SaaS),21500.00,2,6500.00
Миграция чат-бота (Enterprise),608500.00,57,195900.00
Сопровождение чат-бота с нуля,133500.00,12,34000.00
Интеграция DevOps-пайплайна (Enterprise),703000.00,69,272600.00
Настройка корпоративного портала на основе существующего решения,195500.00,17,79500.00
Аудит панели администратора с нуля,245500.00,30,77900.00
Внедрение базы данных под ключ,490000.00,53,241800.00
Развёртывание корпоративного портала под ключ,129500.00,9,44600.00
Настройка ERP-системы (Enterprise),199500.00,21,89800.00
Внедрение микросервисной архитектуры (POC),1161000.00,123,531300.00
Сопровождение DevOps-пайплайна,110000.00,8,36800.00
Развёртывание облачной инфраструктуры с нуля,57500.00,6,24600.00
Консультация системы мониторинга под ключ,32500.00,4,10000.00
Настройка платёжного модуля,72000.00,6,18300.00
Проектирование нагрузочного тестирования (Enterprise),271000.00,33,105900.00
Миграция ERP-системы (MVP),823500.00,84,224700.00
Интеграция чат-бота (POC),620000.00,68,300400.00
Оптимизация CRM-системы на основе существующего решения,62000.00,7,20100.00
Настройка веб-приложения (Enterprise),84500.00,10,33500.00
Разработка сети доставки контента с нуля,135500.00,15,64800.00
Аудит платёжного модуля (SaaS),84000.00,6,29700.00
Консультация API-сервиса с нуля,56500.00,7,18000.00
Проектирование базы данных (SaaS),475000.00,57,164400.00
Настройка мобильного приложения (SaaS),67500.00,7,33200.00
