name,cost,duration_days,prepayment
Аудит корпоративного портала (POC),117500.00,13,45400.00
Тестирование корпоративного портала (SaaS),102500.00,12,38100.00
Сопровождение системы мониторинга (Enterprise),148500.00,13,38600.00
Интеграция платёжного модуля (Enterprise),369000.00,30,103400.00
Развёртывание CRM-системы (POC),199000.00,19,51400.00
Сопровождение DevOps-пайплайна (MVP),26500.00,3,10400.00
Интеграция платёжного модуля под ключ,661000.00,65,222400.00
Разработка DevOps-пайплайна под ключ,626000.00,67,208200.00
Оптимизация платёжного модуля (SaaS),437500.00,34,116000.00
Оптимизация системы резервного копирования (Enterprise),215000.00,19,97800.00
Настройка нагрузочного тестирования с нуля,128500.00,16,57300.00
Консультация платёжного модуля (POC),67500.00,5,17600.00
Сопровождение веб-приложения (Enterprise),108000.00,9,38500.00
Аудит системы резервного копирования,96000.00,9,31100.00
Внедрение мобильного приложения,1314000.00,144,458500.00
Интеграция облачной инфраструктуры под ключ,1144500.00,103,364800.00
Разработка ERP-системы (MVP),373500.00,29,163500.00
Проектирование чат-бота с нуля,146500.00,13,63900.00
Тестирование микросервисной архитектуры (MVP),175500.00,17,68300.00
Интеграция нагрузочного тестирования (MVP),387000.00,35,117600.00
Сопровождение нагрузочного тестирования на основе существующего решения,140500.00,14,67800.00
Разработка корпоративного портала с нуля,1504500.00,115,566400.00
Миграция корпоративного портала,488000.00,38,240600.00
Консультация сети доставки контента (POC),39000.00,3,14500.00
Аудит CRM-системы (MVP),93500.00,11,46200.00
Настройка системы аутентификации (Enterprise),20000.00,2,8000.00
Тестирование корпоративного портала на основе существующего решения,48000.00,5,16100.00
Интеграция платёжного модуля (POC),1141500.00,129,539600.00
Внедрение чат-бота (POC),799000.00,65,244300.00
Тестирование базы данных (MVP),242500.00,20,84000.00
Оптимизация системы резервного копирования под ключ,180000.00,20,49300.00
Внедрение системы аналитики,1292000.00,108,582700.00
Сопровождение сети доставки контента с нуля,129500.00,14,46100.00
Внедрение нагрузочного тестирования (SaaS),559000.00,66,186900.00
Развёртывание корпоративного портала на основе существующего решения,246000.00,31,108200.00
Интеграция системы мониторинга,243500.00,29,104400.00
Интеграция платёжного модуля (Enterprise),1052000.00,133,453500.00
Миграция системы аутентификации с нуля,228000.00,24,78300.00
Сопровождение нагрузочного тестирования (MVP),141000.00,13,46100.00
Внедрение системы управления задачами с нуля,251500.00,32,69400.00
Настройка системы управления задачами (SaaS),160000.00,19,78400.00
Проектирование облачной инфраструктуры с нуля,148000.00,18,56700.00
Разработка микросервисной архитектуры (Enterprise),73000.00,7,19000.00
Тестирование нагрузочного тестирования с нуля,78500.00,6,25500.00
Разработка системы мониторинга (Enterprise),950000.00,82,303600.00
Проектирование API-сервиса (MVP),571000.00,73,145500.00
Проектирование CRM-системы под ключ,263000.00,33,104700.00
Тестирование API-сервиса с нуля,309500.00,38,106200.00
Миграция мобильного приложения,586000.00,68,244600.00
Оптимизация нагрузочного тестирования под ключ,100500.00,13,34700.00
Миграция API-сервиса (POC),189000.00,16,66200.00
Настройка CRM-системы под ключ,24000.00,2,6600.00
Интеграция системы аналитики (SaaS),532500.00,56,135800.00
Миграция облачной инфраструктуры (POC),788000.00,65,381300.00
Интеграция облачной инфраструктуры с нуля,770500.00,59,284400.00
Настройка системы управления задачами с нуля,184000.00,15,65600.00
Проектирование облачной инфраструктуры под ключ,637500.00,68,220500.00
Развёртывание панели администратора (SaaS),505000.00,62,134900.00
Разработка API-сервиса (POC),1196500.00,147,573800.00
