name,cost,duration_days,prepayment
Оптимизация нагрузочного тестирования (Enterprise),493000.00,51,197200.00
Внедрение панели администратора под ключ,481500.00,59,212200.00
Аудит микросервисной архитектуры (POC),178000.00,21,74300.00
Тестирование DevOps-пайплайна под ключ,256000.00,21,110200.00
Миграция веб-приложения,794000.00,60,245100.00
Тестирование платёжного модуля (MVP),225500.00,18,85600.00
Интеграция микросервисной архитектуры с нуля,514000.00,44,201300.00
Консультация сети доставки контента на основе существующего решения,41500.00,4,13300.00
Тестирование веб-приложения (SaaS),325000.00,35,83100.00
Внедрение корпоративного портала (Enterprise),374000.00,39,129800.00
Интеграция микросервисной архитектуры (SaaS),445000.00,54,168900.00
Оптимизация платёжного модуля (MVP),50500.00,6,19600.00
Оптимизация мобильного приложения под ключ,486500.00,41,184100.00
Оптимизация DevOps-пайплайна (POC),188000.00,23,71700.00
Развёртывание DevOps-пайплайна (SaaS),497000.00,51,221400.00
Разработка микросервисной архитектуры с нуля,506000.00,43,185400.00
Настройка системы управления задачами на основе существующего решения,67000.00,5,31600.00
Интеграция нагрузочного тестирования (MVP),617500.00,69,294700.00
Развёртывание корпоративного портала на основе существующего решения,545000.00,51,149900.00
Тестирование системы аутентификации (SaaS),257000.00,28,70200.00
Миграция микросервисной архитектуры,65000.00,6,17800.00
Развёртывание DevOps-пайплайна (POC),412500.00,37,108700.00
Миграция CRM-системы (Enterprise),207000.00,23,54300.00
Разработка платёжного модуля под ключ,841500.00,109,290800.00
Аудит облачной инфраструктуры,270000.00,22,100200.00
Миграция платёжного модуля (Enterprise),83500.00,8,40900.00
Оптимизация платёжного модуля (MVP),478500.00,53,148200.00
Интеграция мобильного приложения (SaaS),789500.00,76,296200.00
Сопровождение чат-бота (SaaS),87500.00,7,35600.00
Миграция сети доставки контента с нуля,473000.00,36,187300.00
Аудит чат-бота (SaaS),230500.00,28,109200.00
Сопровождение мобильного приложения,50000.00,4,18900.00
Интеграция платёжного модуля (SaaS),1139500.00,96,304600.00
Разработка системы мониторинга (SaaS),673000.00,81,326400.00
Оптимизация системы аналитики (SaaS),480500.00,36,200500.00
Аудит ERP-системы (POC),119000.00,12,32500.00
Настройка панели администратора,111000.00,10,28500.00
Развёртывание облачной инфраструктуры под ключ,107500.00,10,53700.00
Сопровождение системы управления задачами,45000.00,5,18100.00
Проектирование системы управления задачами с нуля,439000.00,42,158100.00
Внедрение платёжного модуля (POC),1000000.00,106,278100.00
Миграция системы управления задачами (POC),264000.00,26,96400.00
Консультация панели администратора (SaaS),72500.00,6,26600.00
Тестирование CRM-системы (SaaS),203000.00,21,55000.00
