name,cost,duration_days,prepayment
Миграция облачной инфраструктуры (Enterprise),469500.00,33,201500.00
Проектирование платёжного модуля (POC),76500.00,9,36300.00
Интеграция системы аналитики (Enterprise),802500.00,83,303200.00
Миграция DevOps-пайплайна с нуля,263500.00,34,116600.00
Миграция платёжного модуля (Enterprise),782500.00,91,390200.00
Внедрение нагрузочного тестирования (POC),699500.00,79,314100.00
Разработка системы аутентификации (SaaS),1120500.00,81,294200.00
Консультация базы данных на основе существующего решения,14500.00,2,7000.00
Сопровождение CRM-системы с нуля,104000.00,8,32000.00
Сопровождение API-сервиса на основе существующего решения,40500.00,3,14600.00
Миграция панели администратора (POC),896000.00,106,427900.00
Сопровождение системы управления задачами,120500.00,10,30500.00
Сопровождение системы аналитики,84000.00,8,26900.00
Тестирование сети доставки контента (POC),377000.00,40,164100.00
Внедрение DevOps-пайплайна (MVP),1398500.00,141,525500.00
Настройка системы аналитики на основе существующего решения,119000.00,12,52600.00
Интеграция CRM-системы (SaaS),1129000.00,108,514500.00
Тестирование системы резервного копирования (MVP),272500.00,24,92500.00
Аудит чат-бота (SaaS),187500.00,17,74500.00
Миграция микросервисной архитектуры с нуля,647000.00,59,289100.00
Аудит чат-бота с нуля,200000.00,15,96400.00
Тестирование чат-бота на основе существующего решения,367500.00,47,126700.00
Оптимизация микросервисной архитектуры (POC),341000.00,39,136000.00
Проектирование микросервисной архитектуры на основе существующего решения,642500.00,60,199900.00
Аудит системы резервного копирования (POC),72000.00,9,20400.00
Разработка корпоративного портала с нуля,1181000.00,102,390300.00
Проектирование микросервисной архитектуры под ключ,778500.00,64,210500.00
Тестирование CRM-системы (SaaS),368500.00,45,160300.00
Интеграция системы резервного копирования на основе существующего решения,64000.00,7,28600.00
Сопровождение корпоративного портала,23500.00,2,6200.00
Аудит системы управления задачами,76000.00,8,25000.00
Оптимизация панели администратора (Enterprise),213500.00,23,91100.00
Настройка микросервисной архитектуры с нуля,162500.00,15,60300.00
Развёртывание системы аналитики,451500.00,39,132800.00
Аудит CRM-системы,129000.00,14,63800.00
Разработка нагрузочного тестирования на основе существующего решения,1881500.00,190,830000.00
Аудит ERP-системы (MVP),106000.00,13,47200.00
Проектирование системы мониторинга (SaaS),512500.00,43,151600.00
Оптимизация сети доставки контента с нуля,412000.00,44,179200.00
Аудит ERP-системы (POC),268500.00,27,101300.00
Аудит панели администратора с нуля,158000.00,19,47500.00
Аудит CRM-системы (SaaS),67000.00,8,21600.00
Внедрение ERP-системы,1447500.00,146,485400.00
Проектирование нагрузочного тестирования (POC),776000.00,66,375400.00
Развёртывание нагрузочного тестирования (Enterprise),515000.00,40,243900.00
Аудит чат-бота (Enterprise),179500.00,15,86300.00
Интеграция DevOps-пайплайна,821500.00,96,244700.00
Консультация платёжного модуля на основе существующего решения,43000.00,4,20400.00
Аудит веб-приложения (MVP),135000.00,17,49100.00
Тестирование системы аналитики с нуля,69000.00,5,27700.00
Консультация микросервисной архитектуры (Enterprise),51000.00,5,15300.00
Внедрение CRM-системы под ключ,1160500.00,128,396100.00
Интеграция чат-бота (MVP),1194000.00,107,359300.00
Проектирование базы данных на основе существующего решения,228500.00,23,86600.00
Сопровождение микросервисной архитектуры (POC),10500.00,1,3100.00
Внедрение системы мониторинга,803000.00,76,386200.00
Интеграция облачной инфраструктуры с нуля,379000.00,47,113300.00
Разработка платёжного модуля (SaaS),184000.00,17,66800.00
Аудит чат-бота на основе существующего решения,197500.00,17,89900.00
Консультация сети доставки контента на основе существующего решения,58000.00,7,24100.00
Консультация DevOps-пайплайна (SaaS),52500.00,5,22900.00
Внедрение базы данных (POC),621500.00,58,216100.00
Консультация системы управления задачами,66500.00,7,24200.00
Сопровождение облачной инфраструктуры (SaaS),66000.00,8,27100.00
Оптимизация веб-приложения,338000.00,28,96900.00
