name,cost,duration_days,prepayment
Оптимизация чат-бота (POC),336000.00,38,88400.00
Развёртывание микросервисной архитектуры (SaaS),273000.00,30,116800.00
Развёртывание нагрузочного тестирования (Enterprise),62000.00,6,28000.00
Сопровождение CRM-системы,30000.00,4,13600.00
Развёртывание API-сервиса на основе существующего решения,237500.00,17,62900.00
Консультация веб-приложения под ключ,46000.00,4,22800.00
Проектирование системы аутентификации (MVP),271500.00,20,69000.00
Сопровождение базы данных,59000.00,5,22500.00
Сопровождение нагрузочного тестирования,97000.00,9,26600.00
Тестирование системы управления задачами (POC),221000.00,22,75100.00
Консультация микросервисной архитектуры (SaaS),10500.00,1,3200.00
Тестирование ERP-системы,21000.00,2,8500.00
Интеграция платёжного модуля (Enterprise),296500.00,34,146800.00
Настройка микросервисной архитектуры (MVP),46000.00,3,15700.00
Сопровождение нагрузочного тестирования (MVP),122000.00,12,58300.00
Сопровождение базы данных (SaaS),54000.00,4,15600.00
Интеграция системы резервного копирования (Enterprise),738500.00,68,220700.00
Внедрение системы управления задачами на основе существующего решения,1265500.00,160,450900.00
Проектирование базы данных,215500.00,28,103700.00
Развёртывание облачной инфраструктуры под ключ,231000.00,21,102000.00
Миграция системы аналитики под ключ,44000.00,4,17700.00
Аудит ERP-системы (POC),65500.00,6,29700.00
Оптимизация облачной инфраструктуры (SaaS),197000.00,20,82700.00
Тестирование нагрузочного тестирования с нуля,392000.00,37,133600.00
Внедрение веб-приложения,642000.00,46,279700.00
Аудит мобильного приложения с нуля,135000.00,17,65100.00
Интеграция нагрузочного тестирования (POC),241500.00,23,106600.00
Внедрение платёжного модуля (SaaS),382500.00,37,159700.00
Миграция сети доставки контента (MVP),613000.00,75,191700.00
Интеграция DevOps-пайплайна на основе существующего решения,393000.00,42,108700.00
Настройка мобильного приложения (SaaS),40000.00,5,14600.00
Оптимизация панели администратора (POC),412000.00,50,192100.00
Развёртывание ERP-системы,478000.00,52,153200.00
Внедрение базы данных (MVP),695000.00,71,218000.00
Консультация корпоративного портала на основе существующего решения,39000.00,4,19500.00
Тестирование корпоративного портала (SaaS),365500.00,28,171700.00
Консультация панели администратора,32500.00,3,14600.00
Внедрение системы аналитики с нуля,1285500.00,102,381000.00
Сопровождение корпоративного портала (Enterprise),135000.00,11,66200.00
Консультация сети доставки контента,20500.00,3,8400.00
Настройка чат-бота с нуля,29500.00,3,8100.00
Внедрение мобильного приложения под ключ,894000.00,111,306500.00
Сопровождение ERP-системы на основе существующего решения,94000.00,7,46900.00
Аудит корпоративного портала (Enterprise),70000.00,8,27400.00
Миграция CRM-системы (MVP),866500.00,67,338100.00
Разработка системы мониторинга на основе существующего решения,713500.00,63,227400.00
Оптимизация API-сервиса (MVP),425500.00,36,117700.00
Проектирование системы управления задачами с нуля,450500.00,48,113600.00
Оптимизация CRM-системы (SaaS),94000.00,12,38200.00
Развёртывание нагрузочного тестирования (MVP),454500.00,58,197600.00
Проектирование системы резервного копирования под ключ,439500.00,47,132200.00
Проектирование сети доставки контента (POC),420000.00,37,204600.00
Развёртывание панели администратора (Enterprise),498500.00,61,127600.00
Миграция корпоративного портала (MVP),225500.00,29,78800.00
Тестирование микросервисной архитектуры с нуля,321500.00,28,83900.00
Разработка системы мониторинга (POC),1342000.00,116,480400.00
Внедрение системы резервного копирования под ключ,718000.00,63,291200.00
Разработка мобильного приложения (MVP),1254500.00,107,387300.00
Аудит ERP-системы (SaaS),108500.00,8,50300.00
Миграция нагрузочного тестирования с нуля,800000.00,59,335100.00
Настройка нагрузочного тестирования (SaaS),25000.00,3,8400.00
Тестирование веб-приложения под ключ,171500.00,21,52700.00
Развёртывание системы управления задачами (Enterprise),530000.00,57,180300.00
Тестирование облачной инфраструктуры с нуля,88500.00,8,39600.00
Разработка системы аналитики (MVP),1493000.00,178,452000.00
Настройка мобильного приложения с нуля,119500.00,10,55600.00
Миграция корпоративного портала (MVP),760000.00,68,327600.00
Миграция микросервисной архитектуры на основе существующего решения,408500.00,42,165400.00
Интеграция нагрузочного тестирования под ключ,118000.00,9,48900.00
Консультация CRM-системы под ключ,78500.00,8,27400.00
Миграция платёжного модуля на основе существующего решения,531500.00,60,179600.00
Проектирование платёжного модуля под ключ,371000.00,26,109700.00
Проектирование мобильного приложения с нуля,294500.00,36,85800.00
Сопровождение панели администратора (POC),71000.00,9,22700.00
Внедрение системы управления задачами на основе существующего решения,1385000.00,107,654600.00
Настройка CRM-системы с нуля,71000.00,6,21700.00
Развёртывание системы мониторинга под ключ,571500.00,68,150900.00
Настройка базы данных (SaaS),66500.00,7,20800.00
Тестирование CRM-системы,234000.00,21,113300.00
Интеграция веб-приложения,882500.00,84,361800.00
Настройка системы аналитики на основе существующего решения,100500.00,12,48700.00
Внедрение микросервисной архитектуры под ключ,1120000.00,91,319100.00
Развёртывание панели администратора под ключ,355000.00,38,96100.00
Проектирование системы аналитики,61000.00,6,22700.00
Сопровождение системы аналитики,127000.00,16,32100.00
Оптимизация API-сервиса под ключ,440500.00,47,152200.00
Сопровождение DevOps-пайплайна (SaaS),56500.00,6,25600.00
Сопровождение API-сервиса (POC),104500.00,11,51200.00
Сопровождение API-сервиса (Enterprise),106500.00,9,31500.00
Внедрение системы резервного копирования под ключ,1318000.00,149,446200.00
Интеграция CRM-системы на основе существующего решения,236000.00,20,66200.00
