name,cost,duration_days,prepayment
Проектирование системы резервного копирования под ключ,466000.00,57,217200.00
Аудит корпоративного портала (SaaS),124500.00,14,37900.00
Аудит чат-бота с нуля,277500.00,35,70000.00
Сопровождение облачной инфраструктуры (MVP),144000.00,17,66300.00
Консультация панели администратора (SaaS),26500.00,2,11300.00
Консультация веб-приложения (POC),55500.00,5,14000.00
Миграция ERP-системы (SaaS),871000.00,73,423000.00
Аудит корпоративного портала (POC),94500.00,9,33600.00
Внедрение нагрузочного тестирования,935000.00,75,362100.00
Аудит DevOps-пайплайна (SaaS),56000.00,6,24600.00
Тестирование чат-бота на основе существующего решения,210500.00,24,86500.00
Внедрение облачной инфраструктуры под ключ,406500.00,40,112800.00
Разработка облачной инфраструктуры (Enterprise),1905500.00,213,715300.00
Проектирование системы аналитики (MVP),483000.00,49,227900.00
Настройка системы аналитики (POC),88000.00,9,29000.00
Разработка системы мониторинга на основе существующего решения,1885000.00,223,936800.00
Внедрение системы аутентификации под ключ,275500.00,33,98600.00
Сопровождение системы аналитики под ключ,105000.00,10,28700.00
Оптимизация CRM-системы на основе существующего решения,458500.00,34,175300.00
Консультация чат-бота (SaaS),38500.00,5,16800.00
Развёртывание чат-бота (SaaS),423500.00,31,135600.00
Тестирование CRM-системы (SaaS),395500.00,48,99600.00
Сопровождение облачной инфраструктуры с нуля,56000.00,5,21100.00
Проектирование корпоративного портала,41500.00,3,16100.00
Тестирование ERP-системы (POC),370500.00,30,139400.00
Аудит сети доставки контента (MVP),231500.00,24,74800.00
Миграция корпоративного портала с нуля,568000.00,44,185300.00
Сопровождение системы аналитики с нуля,119000.00,10,53000.00
Тестирование системы мониторинга (MVP),233500.00,20,109500.00
Аудит API-сервиса (Enterprise),167000.00,19,71400.00
Разработка системы аналитики,1705000.00,141,828600.00
Развёртывание базы данных (Enterprise),182000.00,22,90700.00
Развёртывание DevOps-пайплайна (MVP),280500.00,28,107200.00
Проектирование мобильного приложения (SaaS),339500.00,39,139300.00
Настройка ERP-системы (SaaS),123500.00,16,55400.00
Консультация системы аутентификации (SaaS),63500.00,6,27600.00
Оптимизация API-сервиса (SaaS),28500.00,3,8700.00
Интеграция системы управления задачами (SaaS),506000.00,65,232500.00
Аудит платёжного модуля (SaaS),260000.00,19,83300.00
Настройка системы управления задачами с нуля,135500.00,10,66600.00
Интеграция облачной инфраструктуры под ключ,126000.00,16,45000.00
Развёртывание корпоративного портала под ключ,184000.00,24,48200.00
Консультация платёжного модуля,79500.00,7,35100.00
Оптимизация системы аналитики,126500.00,12,46100.00
Оптимизация ERP-системы под ключ,80000.00,7,36900.00
Развёртывание системы аутентификации с нуля,296000.00,22,103500.00
Миграция нагрузочного тестирования (MVP),392000.00,46,163200.00
Проектирование облачной инфраструктуры на основе существующего решения,648000.00,57,293300.00
Развёртывание панели администратора (POC),450500.00,43,167400.00
Консультация базы данных,12000.00,1,3700.00
Консультация нагрузочного тестирования (Enterprise),69000.00,5,21900.00
Тестирование API-сервиса (MVP),168500.00,19,53600.00
Внедрение веб-приложения,422500.00,34,163000.00
Интеграция панели администратора с нуля,647500.00,84,310900.00
Настройка базы данных с нуля,37500.00,4,17400.00
Сопровождение корпоративного портала (Enterprise),144000.00,11,71200.00
Настройка панели администратора под ключ,36500.00,3,11000.00
Развёртывание облачной инфраструктуры на основе существующего решения,249500.00,32,103700.00
Консультация системы аналитики на основе существующего решения,5000.00,1,2400.00
Миграция системы резервного копирования с нуля,164000.00,20,65300.00
Внедрение базы данных на основе существующего решения,591500.00,67,260400.00
Аудит API-сервиса (MVP),53500.00,7,25300.00
Сопровождение системы управления задачами (POC),90500.00,7,32200.00
Настройка системы аналитики (Enterprise),173000.00,16,58900.00
Сопровождение API-сервиса под ключ,36000.00,3,9100.00
Внедрение чат-бота под ключ,1417500.00,184,525000.00
Тестирование платёжного модуля (MVP),392500.00,28,137100.00
Настройка API-сервиса (POC),154500.00,12,68200.00
Разработка CRM-системы с нуля,868500.00,72,235300.00
Аудит системы аналитики (Enterprise),298500.00,37,94900.00
Проектирование базы данных с нуля,507500.00,45,158000.00
Аудит CRM-системы с нуля,175500.00,13,81400.00
Консультация чат-бота,55000.00,5,21600.00
Аудит платёжного модуля с нуля,95000.00,9,46100.00
Настройка API-сервиса на основе существующего решения,113500.00,8,33000.00
