name,cost,duration_days,prepayment
Оптимизация веб-приложения,307500.00,38,152800.00
Проектирование ERP-системы (Enterprise),545500.00,62,141000.00
Миграция платёжного модуля на основе существующего решения,162500.00,21,57000.00
Сопровождение нагрузочного тестирования (POC),41500.00,5,18000.00
Проектирование базы данных с нуля,195500.00,17,80000.00
Сопровождение корпоративного портала (Enterprise),69500.00,8,28200.00
Аудит панели администратора,96500.00,9,47300.00
Сопровождение системы аутентификации (SaaS),41500.00,4,11000.00
Сопровождение сети доставки контента,38000.00,4,18000.00
Проектирование панели администратора,42500.00,4,16200.00
Консультация панели администратора (Enterprise),70000.00,6,33000.00
Тестирование ERP-системы (SaaS),277000.00,20,108000.00
Аудит сети доставки контента на основе существующего решения,125500.00,9,41100.00
Сопровождение системы управления задачами (SaaS),105000.00,10,44100.00
Разработка системы аутентификации на основе существующего решения,1533500.00,117,388600.00
Разработка платёжного модуля (POC),1193500.00,114,316800.00
Разработка веб-приложения (SaaS),708000.00,88,188700.00
Оптимизация системы аналитики с нуля,100500.00,11,47100.00
Миграция API-сервиса (MVP),611000.00,59,190400.00
Сопровождение системы резервного копирования с нуля,66000.00,8,19500.00
Внедрение облачной инфраструктуры (SaaS),1480500.00,186,512000.00
Оптимизация платёжного модуля (Enterprise),471000.00,56,156700.00
Сопровождение системы резервного копирования,78500.00,9,28200.00
Интеграция платёжного модуля (POC),728500.00,56,349300.00
Интеграция микросервисной архитектуры (MVP),392500.00,37,131300.00
Аудит чат-бота под ключ,63500.00,6,30200.00
Сопровождение сети доставки контента (MVP),83000.00,7,39400.00
Миграция микросервисной архитектуры на основе существующего решения,788500.00,98,210400.00
Оптимизация базы данных под ключ,184500.00,20,65200.00
Аудит чат-бота (SaaS),200500.00,26,63800.00
Миграция нагрузочного тестирования,129000.00,13,47100.00
Внедрение нагрузочного тестирования (MVP),166500.00,14,76500.00
Тестирование микросервисной архитектуры,145500.00,10,41800.00
Миграция облачной инфраструктуры,163500.00,19,76300.00
Тестирование панели администратора (Enterprise),338500.00,33,115300.00
Тестирование системы мониторинга (MVP),367500.00,27,165400.00
Развёртывание чат-бота под ключ,111500.00,8,37400.00
Миграция чат-бота (SaaS),276500.00,33,78100.00
Проектирование панели администратора,636000.00,62,223200.00
Внедрение чат-бота (POC),1054000.00,93,522900.00
Настройка веб-приложения,120500.00,9,45600.00
Тестирование нагрузочного тестирования (MVP),231000.00,22,75200.00
Тестирование мобильного приложения с нуля,349500.00,44,125500.00
Развёртывание API-сервиса (POC),488000.00,44,141500.00
Разработка системы аутентификации с нуля,591500.00,74,236500.00
Интеграция CRM-системы (MVP),434500.00,53,155800.00
Развёртывание системы резервного копирования (MVP),205500.00,23,82300.00
Аудит DevOps-пайплайна (POC),145000.00,15,56400.00
Оптимизация системы аналитики,435500.00,35,111900.00
Тестирование панели администратора на основе существующего решения,128000.00,17,45300.00
Аудит мобильного приложения (SaaS),205500.00,18,85600.00
Тестирование платёжного модуля (SaaS),229000.00,17,105900.00
Внедрение CRM-системы (POC),702500.00,89,243800.00
Проектирование облачной инфраструктуры (MVP),49500.00,4,12900.00
